line,orig_id,orig_facilityId,orig_contactName,orig_contactPhone,orig_contactNotes,orig_cardFileId,orig_createdAt,prop_id,prop_facilityId,prop_contactName,prop_contactEmail,prop_contactPhone,prop_contactNotes,prop_cardFileId,prop_createdAt,prop_needsReview
13,FC-20251112050746-431,FAC-2025111211,zaitaku-tochigi@tochigishi-shakyo.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050746-431,FAC-2025111211,,zaitaku-tochigi@tochigishi-shakyo.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
14,FC-20251112050746-182,FAC-2025111212,ayumien@ayumien.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050746-182,FAC-2025111212,,ayumien@ayumien.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
15,FC-20251112050746-189,FAC-2025111213,konoyubi-tomare@tmt.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050746-189,FAC-2025111213,,konoyubi-tomare@tmt.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
16,FC-20251112050747-575,FAC-2025111214,nasubinosato@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050747-575,FAC-2025111214,,nasubinosato@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
17,FC-20251112050747-197,FAC-2025111215,etusoudan@sfk.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050747-197,FAC-2025111215,,etusoudan@sfk.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
18,FC-20251112050747-735,FAC-2025111217,sp-frontier@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050747-735,FAC-2025111217,,sp-frontier@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
19,FC-20251112050747-994,FAC-2025111218,m2-soudan@suginokokai.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050747-994,FAC-2025111218,,m2-soudan@suginokokai.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
20,FC-20251112050747-665,FAC-2025111219,sakura@tensei-kai.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050747-665,FAC-2025111219,,sakura@tensei-kai.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
21,FC-20251112050748-168,FAC-2025111220,wisdom@merryland.ed.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050748-168,FAC-2025111220,,wisdom@merryland.ed.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
22,FC-20251112050748-797,FAC-2025111221,honbu.hibarino@tsuganosato.com,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050748-797,FAC-2025111221,,honbu.hibarino@tsuganosato.com,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
23,FC-20251112050748-6,FAC-2025111222,heartfulfukiage@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050748-6,FAC-2025111222,,heartfulfukiage@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
24,FC-20251112050748-136,LIF-2025111202,yukkura@grace.ocn.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050748-136,LIF-2025111202,,yukkura@grace.ocn.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
25,FC-20251112050749-18,LIF-2025111203,umigame@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050749-18,LIF-2025111203,,umigame@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
26,FC-20251112050749-93,LIF-2025111204,ayumien@ayumien.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050749-93,LIF-2025111204,,ayumien@ayumien.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
27,FC-20251112050749-139,LIF-2025111205,konoyubi-tomare@tmt.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050749-139,LIF-2025111205,,konoyubi-tomare@tmt.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
28,FC-20251112050749-970,LIF-2025111206,nasubinosato@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050749-970,LIF-2025111206,,nasubinosato@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
29,FC-20251112050749-779,LIF-2025111208,sp-frontier@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050749-779,LIF-2025111208,,sp-frontier@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
30,FC-20251112050750-467,LIF-2025111209,m2-soudan@suginokokai.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050750-467,LIF-2025111209,,m2-soudan@suginokokai.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
31,FC-20251112050750-90,LIF-2025111210,sakura@tensei-kai.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050750-90,LIF-2025111210,,sakura@tensei-kai.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
32,FC-20251112050750-163,LIF-2025111211,wisdom@merryland.ed.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050750-163,LIF-2025111211,,wisdom@merryland.ed.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
33,FC-20251112050750-878,LIF-2025111212,honbu.hibarino@tsuganosato.com,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050750-878,LIF-2025111212,,honbu.hibarino@tsuganosato.com,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
34,FC-20251112050750-202,LIF-2025111213,heartfulfukiage@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050750-202,LIF-2025111213,,heartfulfukiage@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
35,FC-20251112050751-156,LIF-2025111214,kouwa-cares@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050751-156,LIF-2025111214,,kouwa-cares@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
36,FC-20251112050751-678,LIF-2025111215,kuranomachi_wave1@yahoo.co.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050751-678,LIF-2025111215,,kuranomachi_wave1@yahoo.co.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
37,FC-20251112050751-856,LIF-2025111216,warashibenosato@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050751-856,LIF-2025111216,,warashibenosato@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
38,FC-20251112050751-823,LIF-2025111217,t-tochigi@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050751-823,LIF-2025111217,,t-tochigi@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
39,FC-20251112050752-890,LIF-2025111218,zaitaku-tochigi@tochigishi-shakyo.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050752-890,LIF-2025111218,,zaitaku-tochigi@tochigishi-shakyo.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
40,FC-20251112050752-174,JOBB-2025111201,umigame@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050752-174,JOBB-2025111201,,umigame@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
41,FC-20251112050752-172,JOBB-2025111202,warashibenosato@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050752-172,JOBB-2025111202,,warashibenosato@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
42,FC-20251112050752-560,JOBB-2025111203,ayumien@ayumien.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050752-560,JOBB-2025111203,,ayumien@ayumien.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
43,FC-20251112050752-484,JOBB-2025111204,m2-soudan@suginokokai.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050752-484,JOBB-2025111204,,m2-soudan@suginokokai.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
44,FC-20251112050753-934,JOBB-2025111205,honbu.hibarino@tsuganosato.com,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050753-934,JOBB-2025111205,,honbu.hibarino@tsuganosato.com,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
45,FC-20251112050753-791,JOBB-2025111206,heartfulfukiage@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050753-791,JOBB-2025111206,,heartfulfukiage@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
46,FC-20251112050753-624,JOBB-2025111207,zaitaku-tochigi@tochigishi-shakyo.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050753-624,JOBB-2025111207,,zaitaku-tochigi@tochigishi-shakyo.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
47,FC-20251112050753-222,JOBB-2025111208,sakura@tensei-kai.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050753-222,JOBB-2025111208,,sakura@tensei-kai.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
48,FC-20251112050754-454,JOBB-2025111209,nohara12@violin.ocn.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050754-454,JOBB-2025111209,,nohara12@violin.ocn.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
49,FC-20251112050754-661,JOBB-2025111210,kuranomachi_wave1@yahoo.co.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050754-661,JOBB-2025111210,,kuranomachi_wave1@yahoo.co.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
50,FC-20251112050754-449,JOBB-2025111213,kouwa-cares@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050754-449,JOBB-2025111213,,kouwa-cares@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
51,FC-20251112050754-784,JOBB-2025111214,sp-frontier@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050754-784,JOBB-2025111214,,sp-frontier@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
52,FC-20251112050755-292,JOBB-2025111215,nasubinosato@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050755-292,JOBB-2025111215,,nasubinosato@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
53,FC-20251112050755-615,JOBA-2025111201,nohara12@violin.ocn.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050755-615,JOBA-2025111201,,nohara12@violin.ocn.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
54,FC-20251112050755-553,JOBA-2025111202,sp-frontier@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050755-553,JOBA-2025111202,,sp-frontier@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
55,FC-20251112050755-362,JOBA-2025111203,heartfulfukiage@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050755-362,JOBA-2025111203,,heartfulfukiage@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
56,FC-20251112050755-894,JOBA-2025111204,kuranomachi_wave1@yahoo.co.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050755-894,JOBA-2025111204,,kuranomachi_wave1@yahoo.co.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
57,FC-20251112050756-801,JOBA-2025111205,kouwa-cares@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050756-801,JOBA-2025111205,,kouwa-cares@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
58,FC-20251112050756-102,JOBA-2025111206,zaitaku-tochigi@tochigishi-shakyo.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050756-102,JOBA-2025111206,,zaitaku-tochigi@tochigishi-shakyo.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
59,FC-20251112050756-596,JOBC-2025111201,sp-frontier@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050756-596,JOBC-2025111201,,sp-frontier@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
60,FC-20251112050756-947,JOBC-2025111202,umigame@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050756-947,JOBC-2025111202,,umigame@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
61,FC-20251112050756-664,JOBC-2025111203,nohara12@violin.ocn.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050756-664,JOBC-2025111203,,nohara12@violin.ocn.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
62,FC-20251112050757-948,JOBC-2025111204,heartfulfukiage@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050757-948,JOBC-2025111204,,heartfulfukiage@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
63,FC-20251112050757-555,JOBC-2025111205,sakura@tensei-kai.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050757-555,JOBC-2025111205,,sakura@tensei-kai.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
64,FC-20251112050757-163,JOBC-2025111206,kouwa-cares@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050757-163,JOBC-2025111206,,kouwa-cares@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
65,FC-20251112050757-751,JOBC-2025111207,kuranomachi_wave1@yahoo.co.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050757-751,JOBC-2025111207,,kuranomachi_wave1@yahoo.co.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
66,FC-20251112050757-882,JOBC-2025111208,zaitaku-tochigi@tochigishi-shakyo.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050757-882,JOBC-2025111208,,zaitaku-tochigi@tochigishi-shakyo.or.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
67,FC-20251112050758-158,JOBC-2025111209,nasubinosato@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050758-158,JOBC-2025111209,,nasubinosato@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
336,FC-20251113060500-935,149,(福)とちぎ健康福祉協会,,,2025-11-12T21:04:27.019Z,aramakimaos@gmail.com,FC-20251113060500-935,149,(福)とちぎ健康福祉協会,,,,2025-11-12T21:04:27.019Z,aramakimaos@gmail.com,numericFacilityId
338,FC-20251113060501-458,150,(福)恵友会,,,2025-11-12T21:04:27.019Z,aramakimaos@gmail.com,FC-20251113060501-458,150,(福)恵友会,,,,2025-11-12T21:04:27.019Z,aramakimaos@gmail.com,numericFacilityId
342,FC-20251113060502-961,151,株式会社COCOCOLOR,,,2025-11-12T21:04:27.019Z,aramakimaos@gmail.com,FC-20251113060502-961,151,株式会社COCOCOLOR,,,,2025-11-12T21:04:27.019Z,aramakimaos@gmail.com,numericFacilityId
347,FC-20251113060503-438,153,合同会社backyard,,,2025-11-12T21:04:27.019Z,aramakimaos@gmail.com,FC-20251113060503-438,153,合同会社backyard,,,,2025-11-12T21:04:27.019Z,aramakimaos@gmail.com,numericFacilityId
350,FC-20251113060504-182,160,(特非)とちの木地域障害者館,,,2025-11-12T21:04:27.019Z,aramakimaos@gmail.com,FC-20251113060504-182,160,(特非)とちの木地域障害者館,,,,2025-11-12T21:04:27.019Z,aramakimaos@gmail.com,numericFacilityId
351,FC-20251113060504-301,149,(福)とちぎ健康福祉協会,,,2025-11-12T21:04:14.607Z,,FC-20251113060504-301,149,(福)とちぎ健康福祉協会,,,,2025-11-12T21:04:14.607Z,,numericFacilityId
353,FC-20251113060504-594,150,(福)恵友会,,,2025-11-12T21:04:14.607Z,,FC-20251113060504-594,150,(福)恵友会,,,,2025-11-12T21:04:14.607Z,,numericFacilityId
355,FC-20251113060505-312,151,株式会社COCOCOLOR,,,2025-11-12T21:04:14.607Z,,FC-20251113060505-312,151,株式会社COCOCOLOR,,,,2025-11-12T21:04:14.607Z,,numericFacilityId
357,FC-20251113060505-112,152,（有）ハウス・ネット,,,2025-11-12T21:04:14.607Z,,FC-20251113060505-112,152,（有）ハウス・ネット,,,,2025-11-12T21:04:14.607Z,,numericFacilityId
358,FC-20251113060505-124,153,合同会社backyard,,,2025-11-12T21:04:14.607Z,,FC-20251113060505-124,153,合同会社backyard,,,,2025-11-12T21:04:14.607Z,,numericFacilityId
359,FC-20251113060505-988,149,(福)とちぎ健康福祉協会,,,2025-11-12T21:04:14.843Z,,FC-20251113060505-988,149,(福)とちぎ健康福祉協会,,,,2025-11-12T21:04:14.843Z,,numericFacilityId
360,FC-20251113060506-122,160,(特非)とちの木地域障害者館,,,2025-11-12T21:04:14.607Z,,FC-20251113060506-122,160,(特非)とちの木地域障害者館,,,,2025-11-12T21:04:14.607Z,,numericFacilityId
361,FC-20251113060506-756,150,(福)恵友会,,,2025-11-12T21:04:14.843Z,,FC-20251113060506-756,150,(福)恵友会,,,,2025-11-12T21:04:14.843Z,,numericFacilityId
362,FC-20251113060507-187,151,株式会社COCOCOLOR,,,2025-11-12T21:04:14.843Z,,FC-20251113060507-187,151,株式会社COCOCOLOR,,,,2025-11-12T21:04:14.843Z,,numericFacilityId
363,FC-20251113060507-282,152,（有）ハウス・ネット,,,2025-11-12T21:04:14.843Z,,FC-20251113060507-282,152,（有）ハウス・ネット,,,,2025-11-12T21:04:14.843Z,,numericFacilityId
364,FC-20251113060507-195,153,合同会社backyard,,,2025-11-12T21:04:14.843Z,,FC-20251113060507-195,153,合同会社backyard,,,,2025-11-12T21:04:14.843Z,,numericFacilityId
365,FC-20251113060507-762,160,(特非)とちの木地域障害者館,,,2025-11-12T21:04:14.843Z,,FC-20251113060507-762,160,(特非)とちの木地域障害者館,,,,2025-11-12T21:04:14.843Z,,numericFacilityId
